 ,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
0,19.041667,49.0,19,46,0.0225,0.04,10,34,3.0,9.0,21,13.0,1.145833,4.2,21,11.680663867226555
1,19.041667,49.0,19,46,0.0225,0.04,10,34,3.0,9.0,21,13.0,0.8789469999999999,2.2,23,25.0
2,19.041667,49.0,19,46,0.0225,0.04,10,34,2.975,6.6,23,6.410917816436712,1.145833,4.2,21,11.680663867226555
3,19.041667,49.0,19,46,0.0225,0.04,10,34,2.975,6.6,23,6.410917816436712,0.8789469999999999,2.2,23,25.0
4,22.958333,36.0,19,34,0.013375,0.032,10,27,1.958333,3.0,22,4.0,0.85,1.6,23,11.680663867226555
5,22.958333,36.0,19,34,0.013375,0.032,10,27,1.958333,3.0,22,4.0,1.066667,2.3,0,26.0
6,22.958333,36.0,19,34,0.013375,0.032,10,27,1.9375,2.6,23,6.410917816436712,0.85,1.6,23,11.680663867226555
7,22.958333,36.0,19,34,0.013375,0.032,10,27,1.9375,2.6,23,6.410917816436712,1.066667,2.3,0,26.0
8,38.125,51.0,8,48,0.007958,0.016,9,14,5.25,11.0,19,16.0,1.9291669999999999,4.4,8,11.680663867226555
9,38.125,51.0,8,48,0.007958,0.016,9,14,5.25,11.0,19,16.0,1.7625,2.5,8,28.0
10,38.125,51.0,8,48,0.007958,0.016,9,14,5.2,8.3,20,6.410917816436712,1.9291669999999999,4.4,8,11.680663867226555
11,38.125,51.0,8,48,0.007958,0.016,9,14,5.2,8.3,20,6.410917816436712,1.7625,2.5,8,28.0
12,40.260870000000004,74.0,8,72,0.014166999999999999,0.033,9,28,7.0833330000000005,16.0,8,23.0,1.9916669999999999,5.1,21,11.680663867226555
13,40.260870000000004,74.0,8,72,0.014166999999999999,0.033,9,28,7.0833330000000005,16.0,8,23.0,1.8291669999999998,3.0,23,34.0
14,40.260870000000004,74.0,8,72,0.014166999999999999,0.033,9,28,7.05,12.6,8,6.410917816436712,1.9916669999999999,5.1,21,11.680663867226555
15,40.260870000000004,74.0,8,72,0.014166999999999999,0.033,9,28,7.05,12.6,8,6.410917816436712,1.8291669999999998,3.0,23,34.0
16,48.45,61.0,22,58,0.006667,0.012,9,10,8.708333,15.0,7,21.0,2.620833,5.6,7,11.680663867226555
